,average_stars,review_count,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,cool,fans,funny,review_length,review_stars,review_use,friend_count,friend_label,rev_count_label,buss_star,buss_review,alpha_length,length_lemmatize,NN,NNP,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,Faker
144,2.5,2,0,0,0,0,0,0,0,0,0,1,0,0,156,4,0,0,0,1,4,3964,28,16,6,0,0,0,0,3,0,2,0,0,0,1,4,1,0,1,0,0,0,0,0
145,3,2,0,0,0,0,0,0,0,0,0,0,0,2,676,5,0,0,0,1,3,57,127,74,27,0,12,0,0,8,1,4,1,0,0,7,9,1,3,2,1,0,1,1,0
146,3,2,0,0,0,0,0,0,0,0,0,0,0,0,258,1,4,0,0,1,3,884,54,23,10,0,0,0,0,6,4,6,0,0,0,2,5,1,0,2,1,0,0,1,0
147,5,2,0,0,0,0,0,0,0,0,0,0,0,0,289,5,0,0,0,1,4.5,287,56,28,16,0,0,0,0,4,0,4,0,0,0,1,6,1,0,2,1,1,0,0,0
148,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1939,1,4,0,0,0,4,161,341,158,74,0,11,0,3,25,8,21,0,0,1,20,27,7,9,4,1,2,1,2,0
149,5,3,0,0,0,0,0,0,0,0,0,6,0,4,432,5,3,0,0,1,4.5,100,87,38,14,0,6,0,0,4,2,8,0,0,1,5,5,0,3,4,2,0,1,0,0
150,3.8,5,0,0,0,0,0,0,0,0,0,1,0,0,256,5,0,0,0,1,3,98,49,26,11,0,3,0,0,1,1,3,0,0,0,1,2,1,1,1,3,2,0,0,0
151,4.6,5,0,0,0,0,0,0,0,0,0,0,1,0,455,5,3,0,0,1,4,186,84,33,14,0,2,0,0,10,5,6,0,0,1,2,8,2,2,3,1,0,0,1,0
152,3.2,5,0,0,0,0,0,0,0,0,0,0,0,0,137,3,0,0,0,1,3.5,328,26,13,3,0,2,0,0,2,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0
153,3.75,8,0,0,0,0,0,0,0,0,1,0,0,0,295,3,0,0,0,1,4.5,6,54,31,13,0,0,0,0,2,0,4,0,0,0,1,7,1,2,0,1,0,0,0,0
154,3,2,0,0,0,0,0,0,0,0,0,0,0,0,272,1,0,0,0,1,4,38,49,26,8,0,1,0,0,3,0,5,0,0,0,4,1,1,2,1,1,0,0,1,0
155,1,1,0,0,0,0,0,0,0,0,0,0,0,0,387,1,2,0,0,0,5,22,72,28,14,0,3,0,0,6,4,5,0,0,1,1,4,1,1,3,4,0,0,1,0
156,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,117,2,0,0,0,1,4.5,12,20,11,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
157,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,111,5,0,0,0,1,3,16,19,9,5,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0
158,3.84,47,0,0,0,0,0,0,0,0,0,0,0,0,368,3,0,324,3,2,4.5,469,65,30,8,0,4,0,0,4,1,4,0,0,1,2,11,1,7,1,0,0,0,1,0
159,5,4,0,0,0,0,0,0,0,0,0,0,0,0,458,5,0,0,0,1,3.5,82,91,43,16,0,6,1,0,8,3,4,0,0,2,4,8,1,2,3,1,0,0,0,0
160,5,1,0,0,0,0,0,0,0,0,0,1,0,0,156,5,0,0,0,0,5,5,26,17,8,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1
161,5,1,0,0,0,0,0,0,0,0,0,0,0,0,197,5,0,0,0,0,3,755,34,21,9,0,1,0,0,2,1,3,0,0,0,2,0,1,0,2,3,0,0,0,1
162,5,2,0,0,0,0,0,0,0,0,0,0,0,0,191,5,0,0,0,1,2.5,2171,38,19,6,0,2,0,0,1,1,7,0,0,0,2,0,1,2,3,1,0,0,0,1
163,5,1,0,0,0,0,0,0,0,0,0,0,0,0,118,5,0,0,0,0,4,2935,18,13,5,0,2,0,1,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1
164,4.24,19,0,0,0,0,0,0,0,0,0,0,0,1,440,2,0,0,0,1,4,236,82,38,21,0,3,0,0,2,3,6,1,0,1,4,8,1,3,1,0,0,0,2,1
165,3.92,12,0,0,0,0,0,0,0,0,0,0,0,0,696,3,0,0,0,1,3,62,131,58,14,0,5,0,0,6,3,15,0,0,1,10,8,1,2,3,2,2,0,0,1
166,5,11,0,0,0,0,0,0,0,0,0,0,0,0,2398,5,0,0,0,1,4,113,463,229,95,1,19,0,0,26,15,33,1,0,6,21,47,8,8,6,5,2,0,0,1
167,5,1,0,0,0,0,0,0,0,0,0,0,0,0,552,5,0,0,0,0,5,31,107,51,22,0,3,0,0,1,3,9,0,0,1,9,8,3,2,2,1,0,0,0,1
168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,240,1,0,0,0,0,3.5,3,45,22,16,0,1,0,0,1,1,6,0,0,0,2,4,1,0,0,0,0,0,0,1
169,2.6,4,0,0,0,0,0,0,0,0,0,0,0,0,149,1,0,0,0,1,3.5,170,23,15,4,0,4,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1
170,1,1,0,0,0,0,0,0,0,0,0,0,0,0,897,1,0,0,0,0,4.5,14,161,77,30,0,5,0,0,6,3,16,0,0,1,11,17,4,6,1,0,0,1,2,1
171,3.32,76,0,0,0,0,0,0,0,1,1,6,2,16,432,4,0,0,0,3,4.5,403,88,43,23,0,5,0,0,2,1,3,0,0,1,5,8,0,0,2,0,0,0,2,1
172,5,4,0,0,0,0,0,0,0,0,0,0,0,0,434,5,0,0,0,1,4.5,294,76,38,20,0,4,0,0,2,2,6,1,0,0,5,4,5,2,1,4,0,0,0,1
173,4,3,0,0,0,0,0,0,0,0,1,0,0,0,139,5,1,0,0,1,4.5,475,26,13,5,0,0,0,0,1,1,5,0,0,0,4,2,1,1,0,0,0,0,0,1
174,3.67,3,0,0,0,0,0,0,0,0,0,0,0,0,163,5,0,0,0,1,5,1463,29,14,7,0,1,1,0,0,0,4,0,0,1,2,2,0,0,0,0,1,0,0,1
175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1631,1,0,0,0,0,4.5,250,316,139,60,0,11,1,0,23,14,21,0,0,3,20,38,3,8,6,2,3,2,1,1
176,5,1,0,0,0,0,0,0,0,0,0,0,0,0,411,5,0,0,0,0,5,76,78,35,16,0,1,0,0,10,3,7,0,0,0,4,9,0,0,0,1,0,0,0,1
177,1,3,0,0,0,0,0,0,0,0,0,0,0,0,540,1,0,0,0,1,4.5,801,89,48,21,0,2,0,0,7,3,5,0,0,1,9,8,2,0,1,2,0,0,1,1
178,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,1413,2,0,0,0,1,4,1191,267,119,42,0,11,0,0,18,5,22,1,0,3,21,22,3,7,6,4,1,4,0,1
179,5,1,0,0,0,0,0,0,0,0,0,0,0,0,461,5,0,0,0,0,4,27,78,41,13,0,5,0,0,4,4,7,0,0,0,2,7,2,1,2,0,2,0,1,1
180,3,1,0,0,0,0,0,0,0,0,0,0,0,0,592,3,0,0,0,0,4.5,110,104,51,19,0,5,0,0,2,3,10,0,0,0,5,6,0,7,4,0,0,0,0,0
181,3,2,0,0,0,0,0,0,0,0,0,0,0,0,145,1,1,0,0,1,3.5,1987,25,17,8,0,1,0,0,0,0,4,0,0,0,0,3,0,2,2,0,0,0,0,0
182,5,1,0,0,0,0,0,0,0,0,0,0,0,0,375,5,0,0,0,0,2,45,70,38,16,0,2,0,0,2,0,8,0,0,0,5,6,1,2,2,0,0,0,0,0
183,4.33,3,0,0,0,0,0,0,0,0,0,0,0,0,155,5,0,0,0,1,4,69,28,15,6,0,1,0,0,2,0,4,0,0,0,1,5,0,0,0,0,0,0,0,0
184,1,1,0,0,0,0,0,0,0,0,0,0,0,0,464,1,0,0,0,0,2.5,49,88,40,16,0,2,0,0,9,1,3,0,0,0,5,14,2,1,0,1,1,0,0,0
185,5,7,0,0,0,0,0,0,0,0,0,0,0,0,446,5,2,0,0,1,4.5,32,86,38,13,0,2,0,0,8,1,5,0,0,3,4,0,1,0,8,4,0,2,0,0
186,4.22,7,0,0,0,0,0,0,0,0,0,0,0,0,101,5,0,0,0,1,3,164,17,14,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187,3,3,0,0,0,0,0,0,0,0,0,0,0,0,132,3,0,0,0,1,3.5,299,26,11,3,0,1,0,0,1,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0
188,2,7,0,0,0,0,0,0,0,0,0,0,0,0,183,1,0,0,0,1,4,159,31,16,6,0,4,0,0,0,0,4,0,0,0,1,0,1,1,2,2,1,0,0,0
189,4.48,23,0,0,0,0,0,0,0,0,0,1,0,0,347,5,1,0,0,2,2,21,61,28,11,0,4,0,0,5,0,5,0,0,0,1,1,0,1,3,3,0,0,0,0
190,3.75,4,0,0,0,0,0,0,0,0,0,0,0,0,182,5,0,0,0,1,4,167,33,19,8,0,2,0,0,3,0,3,0,0,0,3,0,0,0,1,2,0,0,0,0
191,3.9,10,0,0,0,0,0,0,0,0,0,0,0,0,728,5,0,0,0,1,2.5,64,125,60,27,0,3,0,0,4,2,7,2,0,1,5,7,4,1,2,3,0,1,1,0
192,2.33,2,0,0,0,0,0,0,0,0,0,0,0,0,545,1,5,0,0,1,5,16,88,46,19,0,6,1,0,4,2,8,0,0,1,5,5,2,1,3,1,0,0,1,0
193,4.67,3,1,0,1,0,0,0,0,0,0,0,0,0,756,4,0,0,0,1,4,138,128,67,21,0,7,0,0,7,2,19,0,0,0,7,7,1,1,7,4,1,1,0,0
194,4.1,10,0,0,0,0,0,0,0,0,0,0,0,0,302,5,0,0,0,1,5,35,61,22,10,0,2,0,0,4,1,5,0,0,0,3,2,0,1,2,2,0,0,2,0
195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,472,1,0,0,0,0,4,11,89,42,18,0,3,0,0,5,1,2,0,0,1,6,10,0,4,1,0,0,0,0,0
196,2.14,7,0,0,0,0,0,0,0,0,0,0,0,0,769,2,0,0,0,1,1,0,138,63,29,0,2,0,1,4,0,11,1,0,1,7,14,7,5,1,0,1,0,1,0
197,5,5,0,0,0,0,0,0,0,0,0,0,0,0,190,5,0,0,0,1,1,0,34,17,5,0,2,0,0,2,0,2,0,0,0,2,0,0,1,0,4,0,1,0,0
198,5,2,0,0,0,0,0,0,0,0,0,0,0,0,99,5,1,0,0,1,1,0,19,8,2,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0
199,5,1,0,0,0,0,0,0,0,0,0,0,0,0,217,5,0,0,0,0,1,0,39,20,9,0,1,0,0,1,0,5,0,0,0,3,1,1,2,1,2,0,0,0,0
